row_id,set_id,name,product_type,snapshot_date,current_price,most_expensive_card_price,chase_card_count,chase_card_index_score,set_age_years,google_trends_score,print_run_type_encoded,price_trajectory_6mo,price_trajectory_24mo,collector_demand_ratio,market_cycle_score,popularity_score,product_type_encoded,era_encoded,price_momentum_1mo,price_momentum_12mo,price_volatility_6mo,price_volatility_12mo,drawdown_12mo,history_density_12mo,available_provider_count,provider_spread_pct,provider_agreement_score,snapshot_freshness_days,liquidity_proxy_score,history_window_missing_flag,provider_context_missing_flag,price_1yr_later,price_3yr_later,price_5yr_later
cosmic-eclipse:2021-12-01,cosmic-eclipse,Cosmic Eclipse,Booster Box,2021-12-01,455.0,450.0,4,88.0,2.0835,80.0,2,4845.652,,0.82,92.0,86.0,2,0,-0.398,,126.32,126.32,-0.398,100.0,1.0,,,0.0,53.75,1.0,1.0,480.86,1003.24,
fossil:2021-12-01,fossil,Fossil,Booster Box,2021-12-01,5700.0,78.0,3,68.0,22.1437,60.0,2,6.165,,0.74,92.0,68.0,2,3,0.0,,2.4891,4.5752,-4.224,100.0,1.0,,,0.0,53.75,1.0,1.0,7503.41,7218.43,
fusion-strike:2021-12-01,fusion-strike,Fusion Strike,Booster Box,2021-12-01,108.0,180.0,5,80.0,0.052,69.0,1,,,0.6,92.0,70.0,2,0,332.0,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,110.4,335.61,
hidden-fates:2021-12-01,hidden-fates,Hidden Fates,ETB,2021-12-01,136.1,350.0,5,88.0,2.2752,79.0,2,373.556,,0.78,92.0,85.0,3,0,-36.736,,48.6188,48.6188,-36.736,100.0,1.0,,,0.0,53.75,1.0,1.0,138.0,174.23,
jungle:2021-12-01,jungle,Jungle,Booster Box,2021-12-01,6123.5,82.0,4,72.0,22.4613,63.0,2,-26.223,,0.78,92.0,70.0,2,3,0.0,,9.5958,9.0593,-26.223,100.0,1.0,,,0.0,53.75,1.0,1.0,4635.42,7215.99,
shining-fates:2021-12-01,shining-fates,Shining Fates,ETB,2021-12-01,56.11,100.0,4,76.0,0.7803,67.0,1,-7.149,,0.62,92.0,75.0,3,0,2.297,,5.4518,7.3589,-7.149,100.0,1.0,,,0.0,53.75,1.0,1.0,42.12,46.67,
team-rocket:2021-12-01,team-rocket,Team Rocket,Booster Box,2021-12-01,12000.0,160.0,4,82.0,21.6044,72.0,2,0.0,,0.84,92.0,80.0,2,3,0.0,,0.0,0.0,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,7372.5,8625.0,
team-up:2021-12-01,team-up,Team Up,Booster Box,2021-12-01,680.0,1000.0,5,92.0,2.8309,84.0,2,571.605,,0.86,92.0,90.0,2,0,0.009,,70.9726,70.9726,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,870.0,2926.91,
xy-evolutions:2021-12-01,xy-evolutions,XY Evolutions,Booster Box,2021-12-01,638.72,75.0,3,78.0,5.0787,76.0,0,7.116,,0.55,92.0,82.0,2,0,2.508,,9.5714,9.5714,-13.686,100.0,1.0,,,0.0,53.75,1.0,1.0,661.12,861.81,
base-set-unlimited:2022-01-01,base-set-unlimited,Base Set Unlimited,Booster Box,2022-01-01,12706.06,350.0,4,95.0,22.9788,88.0,2,-19.432,,0.95,38.0,98.0,2,3,-5.473,,4.6674,4.6886,-19.432,100.0,1.0,,,0.0,53.75,1.0,1.0,20024.29,15381.21,
cosmic-eclipse:2022-01-01,cosmic-eclipse,Cosmic Eclipse,Booster Box,2022-01-01,465.45,450.0,4,88.0,2.1684,80.0,2,4959.239,,0.82,38.0,86.0,2,0,2.297,,126.1279,118.9929,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,574.39,1168.68,
fossil:2022-01-01,fossil,Fossil,Booster Box,2022-01-01,5763.48,78.0,3,68.0,22.2286,60.0,2,4.018,,0.74,38.0,68.0,2,3,1.114,,2.3041,4.3175,-3.157,100.0,1.0,,,0.0,53.75,1.0,1.0,7999.89,7631.25,
fusion-strike:2022-01-01,fusion-strike,Fusion Strike,Booster Box,2022-01-01,103.75,180.0,5,80.0,0.1369,69.0,1,,,0.6,38.0,70.0,2,0,-3.935,,,,-3.935,100.0,1.0,,,0.0,53.75,1.0,1.0,126.33,282.6,
hidden-fates:2022-01-01,hidden-fates,Hidden Fates,ETB,2022-01-01,136.96,350.0,5,88.0,2.36,79.0,2,376.548,,0.78,38.0,85.0,3,0,0.632,,45.8125,45.8125,-36.336,100.0,1.0,,,0.0,53.75,1.0,1.0,165.05,200.51,
jungle:2022-01-01,jungle,Jungle,Booster Box,2022-01-01,6123.5,82.0,4,72.0,22.5462,63.0,2,-26.223,,0.78,38.0,70.0,2,3,0.0,,9.5958,8.5952,-26.223,100.0,1.0,,,0.0,53.75,1.0,1.0,3270.84,8812.5,
shining-fates:2022-01-01,shining-fates,Shining Fates,ETB,2022-01-01,52.0,100.0,4,76.0,0.8652,67.0,1,-6.306,,0.62,38.0,75.0,3,0,-7.325,,5.2579,7.4426,-13.95,100.0,1.0,,,0.0,53.75,1.0,1.0,49.99,60.45,
team-rocket:2022-01-01,team-rocket,Team Rocket,Booster Box,2022-01-01,12000.0,160.0,4,82.0,21.6893,72.0,2,0.0,,0.84,38.0,80.0,2,3,0.0,,0.0,0.0,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,7500.12,8718.75,
team-up:2022-01-01,team-up,Team Up,Booster Box,2022-01-01,621.5,1000.0,5,92.0,2.9158,84.0,2,513.827,,0.86,38.0,90.0,2,0,-8.603,,71.7184,67.2364,-8.603,100.0,1.0,,,0.0,53.75,1.0,1.0,912.79,2798.23,
xy-evolutions:2022-01-01,xy-evolutions,XY Evolutions,Booster Box,2022-01-01,706.85,75.0,3,78.0,5.1636,76.0,0,-4.48,,0.55,38.0,82.0,2,0,10.667,,5.6352,9.4031,-4.48,100.0,1.0,,,0.0,53.75,1.0,1.0,739.19,959.99,
base-set-unlimited:2022-02-01,base-set-unlimited,Base Set Unlimited,Booster Box,2022-02-01,10000.0,350.0,4,95.0,23.0637,88.0,2,-32.251,,0.95,38.0,98.0,2,3,-21.297,,8.9962,8.2394,-36.591,100.0,1.0,,,0.0,53.75,1.0,1.0,13500.0,15416.04,
brilliant-stars:2022-02-01,brilliant-stars,Brilliant Stars,Booster Box,2022-02-01,76.0,175.0,4,72.0,0.0,66.0,1,,,0.58,38.0,68.0,2,0,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,162.5,268.0,
cosmic-eclipse:2022-02-01,cosmic-eclipse,Cosmic Eclipse,Booster Box,2022-02-01,458.0,450.0,4,88.0,2.2533,80.0,2,4878.261,,0.82,38.0,86.0,2,0,-1.601,,126.2687,112.9298,-1.601,100.0,1.0,,,0.0,53.75,1.0,1.0,650.0,1380.62,
fossil:2022-02-01,fossil,Fossil,Booster Box,2022-02-01,5800.0,78.0,3,68.0,22.3135,60.0,2,-0.855,,0.74,38.0,68.0,2,3,0.634,,0.9344,4.0835,-2.543,100.0,1.0,,,0.0,53.75,1.0,1.0,7999.89,7900.0,
fusion-strike:2022-02-01,fusion-strike,Fusion Strike,Booster Box,2022-02-01,103.23,180.0,5,80.0,0.2218,69.0,1,,,0.6,38.0,70.0,2,0,-0.501,,70.0579,70.0579,-4.417,100.0,1.0,,,0.0,53.75,1.0,1.0,125.59,428.92,
hidden-fates:2022-02-01,hidden-fates,Hidden Fates,ETB,2022-02-01,137.84,350.0,5,88.0,2.4449,79.0,2,99.335,,0.78,38.0,85.0,3,0,0.643,,36.8662,43.3342,-35.927,100.0,1.0,,,0.0,53.75,1.0,1.0,142.91,234.88,
jungle:2022-02-01,jungle,Jungle,Booster Box,2022-02-01,6075.0,82.0,4,72.0,22.6311,63.0,2,-7.114,,0.78,38.0,70.0,2,3,-0.792,,4.6621,8.1585,-26.807,100.0,1.0,,,0.0,53.75,1.0,1.0,3302.35,8781.25,
shining-fates:2022-02-01,shining-fates,Shining Fates,ETB,2022-02-01,59.31,100.0,4,76.0,0.95,67.0,1,6.865,,0.62,38.0,75.0,3,0,14.058,,7.5123,8.1632,-1.853,100.0,1.0,,,0.0,53.75,1.0,1.0,36.0,64.5,
team-rocket:2022-02-01,team-rocket,Team Rocket,Booster Box,2022-02-01,12000.0,160.0,4,82.0,21.7741,72.0,2,0.0,,0.84,38.0,80.0,2,3,0.0,,0.0,0.0,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,5425.84,8679.69,
team-up:2022-02-01,team-up,Team Up,Booster Box,2022-02-01,628.72,1000.0,5,92.0,3.0007,84.0,2,520.958,,0.86,38.0,90.0,2,0,1.162,,71.6385,63.425,-7.541,100.0,1.0,,,0.0,53.75,1.0,1.0,990.25,3213.66,
xy-evolutions:2022-02-01,xy-evolutions,XY Evolutions,Booster Box,2022-02-01,692.5,75.0,3,78.0,5.2485,76.0,0,-3.147,,0.55,38.0,82.0,2,0,-2.03,,5.5487,8.9198,-6.419,100.0,1.0,,,0.0,53.75,1.0,1.0,718.57,1062.5,
base-set-2:2022-03-01,base-set-2,Base Set 2,Booster Box,2022-03-01,7105.0,220.0,3,74.0,22.0151,58.0,1,,,0.72,38.0,70.0,2,3,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,7128.06,11000.0,
base-set-unlimited:2022-03-01,base-set-unlimited,Base Set Unlimited,Booster Box,2022-03-01,9372.63,350.0,4,95.0,23.1403,88.0,2,-32.875,,0.95,38.0,98.0,2,3,-6.274,,8.9868,7.7743,-40.569,100.0,1.0,,,0.0,53.75,1.0,1.0,18000.0,14305.3,
brilliant-stars:2022-03-01,brilliant-stars,Brilliant Stars,Booster Box,2022-03-01,126.5,175.0,4,72.0,0.011,66.0,1,,,0.58,38.0,68.0,2,0,66.447,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,155.86,264.3,
cosmic-eclipse:2022-03-01,cosmic-eclipse,Cosmic Eclipse,Booster Box,2022-03-01,455.0,450.0,4,88.0,2.3299,80.0,2,3037.931,,0.82,38.0,86.0,2,0,-0.655,,128.6143,107.6018,-2.245,100.0,1.0,,,0.0,53.75,1.0,1.0,583.86,1479.15,
ex-firered-leafgreen:2022-03-01,ex-firered-leafgreen,EX FireRed & LeafGreen,Booster Box,2022-03-01,2500.0,450.0,3,82.0,17.5003,70.0,2,,,0.9,38.0,78.0,2,2,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,2500.0,1350.0,
evolving-skies:2022-03-01,evolving-skies,Evolving Skies,Booster Box,2022-03-01,140.61,1100.0,10,95.0,0.5092,94.0,1,,,0.78,38.0,95.0,2,0,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,378.5,1259.23,
fossil:2022-03-01,fossil,Fossil,Booster Box,2022-03-01,5585.14,78.0,3,68.0,22.3901,60.0,2,-4.528,,0.74,38.0,68.0,2,3,-3.704,-6.154,1.6347,4.0128,-6.154,100.0,1.0,,,0.0,53.75,0.0,1.0,7999.02,7975.0,
fusion-strike:2022-03-01,fusion-strike,Fusion Strike,Booster Box,2022-03-01,103.71,180.0,5,80.0,0.2984,69.0,1,,,0.6,38.0,70.0,2,0,0.465,,63.9676,63.9676,-3.972,100.0,1.0,,,0.0,53.75,1.0,1.0,131.25,405.66,
hidden-fates:2022-03-01,hidden-fates,Hidden Fates,ETB,2022-03-01,144.76,350.0,5,88.0,2.5216,79.0,2,-0.166,,0.78,38.0,85.0,3,0,5.02,,24.1144,40.9465,-32.71,100.0,1.0,,,0.0,53.75,1.0,1.0,145.6,275.5,
jungle:2022-03-01,jungle,Jungle,Booster Box,2022-03-01,6006.88,82.0,4,72.0,22.7077,63.0,2,-12.322,,0.78,38.0,70.0,2,3,-1.121,-27.628,3.8812,7.7716,-27.628,100.0,1.0,,,0.0,53.75,0.0,1.0,5600.59,6979.37,
shining-fates:2022-03-01,shining-fates,Shining Fates,ETB,2022-03-01,46.0,100.0,4,76.0,1.0267,67.0,1,-13.208,,0.62,38.0,75.0,3,0,-22.441,-12.381,12.4975,11.1564,-23.879,100.0,1.0,,,0.0,53.75,0.0,1.0,49.99,74.5,
team-rocket:2022-03-01,team-rocket,Team Rocket,Booster Box,2022-03-01,7600.0,160.0,4,82.0,21.8508,72.0,2,-36.667,,0.84,38.0,80.0,2,3,-36.667,-36.667,17.0224,13.7028,-36.667,100.0,1.0,,,0.0,53.75,0.0,1.0,5496.08,9100.0,
team-up:2022-03-01,team-up,Team Up,Booster Box,2022-03-01,629.98,1000.0,5,92.0,3.0773,84.0,2,522.202,,0.86,38.0,90.0,2,0,0.2,,71.6243,60.2189,-7.356,100.0,1.0,,,0.0,53.75,1.0,1.0,944.27,4298.09,
xy-evolutions:2022-03-01,xy-evolutions,XY Evolutions,Booster Box,2022-03-01,725.0,75.0,3,78.0,5.3251,76.0,0,4.017,,0.55,38.0,82.0,2,0,4.693,,5.7501,8.4529,-2.027,100.0,1.0,,,0.0,53.75,1.0,1.0,742.0,1149.61,
base-set-2:2022-04-01,base-set-2,Base Set 2,Booster Box,2022-04-01,7127.5,220.0,3,74.0,22.0999,58.0,1,,,0.72,38.0,70.0,2,3,0.317,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,7127.51,11570.78,
